tourney_name,winner_id,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
Australian Open,104745,L,185,ESP,27.61396304,1,13130,106071,R,193,AUS,21.229295,57,810,6-4 RET,R128,41,5,1,26,16,14,6,5,0,0,3,1,28,19,15,3,5,0,1
Australian Open,106423,R,,AUS,17.76043806,570,53,104997,R,190,NED,26.40657084,73,681,7-6(4) 0-6 7-6(3) 6-2,R128,182,6,9,147,79,55,36,19,5,9,20,4,123,73,57,22,19,2,5
Australian Open,106058,R,185,USA,21.30321697,95,582,104735,R,180,GER,27.6495551,78,651,7-6(5) 5-7 6-2 6-4,R128,242,16,12,148,74,54,43,21,10,12,6,8,136,66,51,36,21,6,10
Australian Open,104792,R,193,FRA,27.36755647,32,1245,105992,R,183,USA,21.68651608,110,504,6-4 6-4 6-4,R128,111,10,5,78,51,44,17,15,0,0,2,1,93,57,42,17,15,1,4
Australian Open,104312,R,190,ITA,29.89459274,25,1360,103720,R,180,AUS,32.8843258,43,1010,7-6(4) 6-3 5-7 5-7 7-5,R128,258,17,5,176,103,72,40,29,6,13,23,5,177,90,76,38,28,11,18
Australian Open,105385,L,183,USA,24.47638604,91,595,104898,R,190,NED,26.77344285,45,977,6-7(4) 7-6(2) 6-2 1-0 RET,R128,154,0,5,106,77,58,16,16,3,4,11,6,124,81,55,19,15,5,7
Australian Open,105583,R,180,SRB,23.54004107,117,483,106298,R,,FRA,19.88774812,193,262,6-4 7-6(9) 4-6 6-3,R128,183,7,7,132,80,53,30,21,4,8,2,10,135,84,56,21,20,5,10
Australian Open,105453,R,178,JPN,24.04106776,17,1915,104594,R,194,AUS,28.43258042,54,856,6-3 5-7 6-2 4-6 6-2,R128,221,6,5,143,96,69,26,23,6,9,13,9,172,103,68,30,24,8,15
Australian Open,105683,R,196,CAN,23.04722793,11,2860,104593,R,185,ESP,28.43531828,77,662,7-6(2) 6-1 4-6 6-2,R128,144,21,7,101,65,56,17,18,3,6,5,5,122,69,43,25,19,13,20
Australian Open,103812,R,198,ROU,32.48186174,76,665,105376,R,185,GER,24.49828884,135,423,7-6(5) 7-6(5) 6-3,R128,136,8,4,120,78,59,24,17,5,6,7,6,104,57,44,22,16,5,7
Australian Open,104229,R,180,TPE,30.41752225,53,860,104499,R,178,TPE,28.92813142,173,302,6-3 6-2 6-1,R128,108,9,5,76,47,33,11,12,4,7,1,3,101,64,32,12,12,10,19
Australian Open,105777,R,188,BUL,22.66392882,22,1460,105614,L,190,USA,23.40041068,93,592,6-7(7) 6-4 6-4 6-3,R128,154,14,4,108,62,55,30,20,0,0,10,9,130,75,54,28,21,4,8
Australian Open,105332,R,196,FRA,24.6844627,28,1300,104433,R,185,CAN,29.29774127,122,460,7-6(12) 6-3 6-4,R128,132,24,6,106,60,54,22,16,3,4,12,3,108,65,48,19,15,9,12
Australian Open,106401,R,,AUS,18.71594798,183,277,103794,R,178,GER,32.57768652,81,640,6-3 6-7(5) 6-2 7-6(2),R128,152,34,13,123,69,63,22,21,4,7,12,5,124,65,44,32,20,2,8
Australian Open,105138,R,,ESP,25.74948665,62,750,105065,R,175,USA,26.03969884,90,600,6-2 6-1 6-1,R128,90,1,1,61,50,37,7,11,1,2,8,5,89,54,28,10,11,10,18
Australian Open,105223,R,198,ARG,25.30595483,5,5415,105733,R,,USA,22.81451061,130,428,6-7(1) 6-3 6-4 6-4,R128,184,16,3,115,73,61,24,21,1,2,29,1,114,65,52,25,20,4,8
Australian Open,104918,R,190,GBR,26.66666667,4,5560,104424,R,178,JPN,29.35523614,112,498,6-1 6-1 6-3,R128,87,11,2,59,41,33,11,11,0,0,6,3,74,45,28,6,12,6,13
