tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2017-580,Australian Open,Hard,128,G,20170116,100,104918,1,,Andy Murray,R,190,GBR,29.67556468,1,12560,105011,,,Illya Marchenko,R,185,UKR,29.35797399,95,624,7-5 7-6(5) 6-2,5,R128,167,10,4,112,54,45,25,16,2,5,6,6,99,53,35,19,16,2,8
2017-580,Australian Open,Hard,128,G,20170116,101,126094,,,Andrey Rublev,R,,RUS,19.24161533,152,383,104229,,,Yen Hsun Lu,R,180,TPE,33.42642026,60,786,4-6 6-3 7-6(0) 6-3,5,R128,170,19,6,142,76,59,33,20,19,22,16,7,117,65,47,25,20,3,7
2017-580,Australian Open,Hard,128,G,20170116,102,200282,,,Alex De Minaur,R,,AUS,17.9137577,301,164,105589,,,Gerald Melzer,L,,AUT,26.51334702,87,648,5-7 6-3 2-6 7-6(2) 6-1,5,R128,222,12,7,167,96,65,34,24,12,19,4,6,157,105,65,25,24,13,20
2017-580,Australian Open,Hard,128,G,20170116,103,105023,31,,Sam Querrey,R,198,USA,29.27857632,32,1355,111460,,,Quentin Halys,R,,FRA,20.22450376,155,379,6-7(10) 7-6(4) 6-3 6-4,5,R128,165,31,10,133,81,72,23,22,3,6,24,9,151,89,66,33,21,11,16
2017-580,Australian Open,Hard,128,G,20170116,104,104545,19,,John Isner,R,206,USA,31.72621492,19,1850,104505,,,Konstantin Kravchuk,R,190,RUS,31.89596167,88,642,6-3 6-4 6-7(5) 6-1,5,R128,143,33,6,111,79,67,20,19,2,2,19,4,112,74,59,17,19,6,10
2017-580,Australian Open,Hard,128,G,20170116,105,104999,,,Mischa Zverev,L,190,GER,29.40451745,50,894,104198,,,Guillermo Garcia Lopez,R,188,ESP,33.62080767,74,700,6-3 7-6(5) 6-4,5,R128,132,8,2,100,69,50,14,16,5,8,3,4,99,53,35,21,15,5,11
2017-580,Australian Open,Hard,128,G,20170116,106,104291,,,Malek Jaziri,R,185,TUN,32.99110198,56,824,104424,,,Go Soeda,R,178,JPN,32.36413415,139,431,6-3 6-4 6-3,5,R128,120,7,4,77,35,30,23,14,2,4,5,2,99,53,36,16,14,8,14
2017-580,Australian Open,Hard,128,G,20170116,107,122330,,,Alexander Bublik,R,,RUS,19.58384668,207,268,106298,16,,Lucas Pouille,R,185,FRA,22.89664613,16,2131,6-0 3-6 6-3 6-4,5,R128,103,16,9,95,50,43,19,17,3,6,6,7,95,55,40,14,17,4,11
2017-580,Australian Open,Hard,128,G,20170116,108,104607,10,,Tomas Berdych,R,196,CZE,31.33196441,10,3060,104563,,,Luca Vanni,R,,ITA,31.61943874,157,373,6-1 RET,5,R128,32,2,2,22,10,8,9,4,1,1,1,2,26,16,8,4,3,1,3
2017-580,Australian Open,Hard,128,G,20170116,109,105992,,,Ryan Harrison,R,183,USA,24.6954141,82,664,103917,,,Nicolas Mahut,R,190,FRA,34.98699521,41,1085,6-3 6-4 6-2,5,R128,122,8,3,77,49,38,14,14,4,6,1,5,95,56,33,16,13,8,14
2017-580,Australian Open,Hard,128,G,20170116,110,111511,,,Noah Rubin,R,,USA,20.90349076,200,274,106216,,,Bjorn Fratangelo,R,,USA,23.49623546,113,519,6-7(4) 7-5 3-6 6-2 6-2,5,R128,188,15,6,160,94,70,31,25,5,10,9,8,174,112,78,21,24,6,14
2017-580,Australian Open,Hard,128,G,20170116,111,103819,17,,Roger Federer,R,185,SUI,35.44147844,17,1980,103781,,,Jurgen Melzer,L,183,AUT,35.6550308,300,164,7-5 3-6 6-2 6-2,5,R128,125,19,1,103,66,51,20,19,1,4,4,1,111,83,47,15,18,2,9
2017-580,Australian Open,Hard,128,G,20170116,112,105041,,,Lukas Lacko,R,185,SVK,29.20465435,121,486,105077,26,,Albert Ramos,L,188,ESP,28.99931554,26,1435,4-6 7-5 1-6 6-4 6-3,5,R128,200,17,4,140,86,64,30,24,8,12,21,11,151,86,63,32,24,7,11
2017-580,Australian Open,Hard,128,G,20170116,113,104534,,,Dudi Sela,R,175,ISR,31.78644764,67,731,104719,,,Marcel Granollers,R,190,ESP,30.7652293,38,1123,5-7 6-3 6-2 6-0,5,R128,154,1,3,113,84,54,13,18,4,8,4,2,112,69,38,16,17,8,18
2017-580,Australian Open,Hard,128,G,20170116,114,104871,,,Jeremy Chardy,R,188,FRA,29.92744695,72,705,104597,,,Nicolas Almagro,R,183,ESP,31.40588638,42,1040,4-0 RET,5,R128,23,3,3,20,13,10,3,2,2,2,1,1,15,6,3,2,2,0,2
2017-580,Australian Open,Hard,128,G,20170116,115,105453,5,,Kei Nishikori,R,178,JPN,27.04996578,5,5010,105723,,,Andrey Kuznetsov,R,185,RUS,25.90006845,45,1015,5-7 6-1 6-4 6-7(6) 6-2,5,R128,214,11,0,158,98,67,34,25,7,12,5,4,142,78,52,27,24,3,12
2017-580,Australian Open,Hard,128,G,20170116,116,104527,4,,Stanislas Wawrinka,R,183,SUI,31.80561259,4,5155,105373,,,Martin Klizan,L,190,SVK,27.51813826,34,1230,4-6 6-4 7-5 4-6 6-4,5,R128,204,21,6,160,102,78,27,26,11,16,7,2,157,120,77,24,26,10,16
2017-580,Australian Open,Hard,128,G,20170116,117,105449,,,Steve Johnson,R,188,USA,27.06365503,30,1390,105643,,,Federico Delbonis,L,190,ARG,26.28336756,44,1030,6-3 6-4 6-4,5,R128,120,17,1,79,43,40,23,15,2,2,2,5,85,49,37,15,14,3,6
2017-580,Australian Open,Hard,128,G,20170116,118,103893,,,Paolo Lorenzi,R,183,ITA,35.08829569,43,1033,105902,,,James Duckworth,R,183,AUS,24.98836413,107,557,6-4 7-6(4) 6-7(4) 6-4,5,R128,195,10,5,141,81,64,30,22,7,9,8,7,142,71,56,35,22,3,7
2017-580,Australian Open,Hard,128,G,20170116,119,104678,29,,Viktor Troicki,R,193,SRB,30.93223819,35,1225,106000,,,Damir Dzumhur,R,172,BIH,24.65982204,78,694,6-4 6-4 2-6 2-6 6-3,5,R128,166,14,2,123,79,57,25,23,5,11,1,8,143,80,57,31,22,10,15
2017-580,Australian Open,Hard,128,G,20170116,120,106043,,,Diego Sebastian Schwartzman,R,170,ARG,24.41889117,54,867,104655,22,,Pablo Cuevas,R,180,URU,31.04175222,22,1780,6-3 6-3 6-0,5,R128,82,6,4,72,42,30,22,12,3,4,7,6,80,44,25,13,12,2,9
2017-580,Australian Open,Hard,128,G,20170116,121,104327,,,Steve Darcis,R,178,BEL,32.84599589,71,707,105032,,,Samuel Groth,R,,AUS,29.24572211,162,355,3-6 6-3 6-2 6-2,5,R128,130,3,0,91,58,48,18,17,1,2,19,8,115,63,44,24,17,5,10
2017-580,Australian Open,Hard,128,G,20170116,122,104312,,,Andreas Seppi,R,190,ITA,32.90349076,89,635,103908,,,Paul Henri Mathieu,R,185,FRA,35.01163587,75,700,6-4 7-6(4) 6-7(3) 7-5,5,R128,185,34,7,159,94,75,38,23,13,14,16,8,148,85,63,38,23,7,10
