tourney_name,winner_id,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
Australian Open,104918,R,190,GBR,29.67556468,1,12560,105011,R,185,UKR,29.35797399,95,624,7-5 7-6(5) 6-2,R128,167,10,4,112,54,45,25,16,2,5,6,6,99,53,35,19,16,2,8
Australian Open,126094,R,,RUS,19.24161533,152,383,104229,R,180,TPE,33.42642026,60,786,4-6 6-3 7-6(0) 6-3,R128,170,19,6,142,76,59,33,20,19,22,16,7,117,65,47,25,20,3,7
Australian Open,200282,R,,AUS,17.9137577,301,164,105589,L,,AUT,26.51334702,87,648,5-7 6-3 2-6 7-6(2) 6-1,R128,222,12,7,167,96,65,34,24,12,19,4,6,157,105,65,25,24,13,20
Australian Open,105023,R,198,USA,29.27857632,32,1355,111460,R,,FRA,20.22450376,155,379,6-7(10) 7-6(4) 6-3 6-4,R128,165,31,10,133,81,72,23,22,3,6,24,9,151,89,66,33,21,11,16
Australian Open,104545,R,206,USA,31.72621492,19,1850,104505,R,190,RUS,31.89596167,88,642,6-3 6-4 6-7(5) 6-1,R128,143,33,6,111,79,67,20,19,2,2,19,4,112,74,59,17,19,6,10
Australian Open,104999,L,190,GER,29.40451745,50,894,104198,R,188,ESP,33.62080767,74,700,6-3 7-6(5) 6-4,R128,132,8,2,100,69,50,14,16,5,8,3,4,99,53,35,21,15,5,11
Australian Open,104291,R,185,TUN,32.99110198,56,824,104424,R,178,JPN,32.36413415,139,431,6-3 6-4 6-3,R128,120,7,4,77,35,30,23,14,2,4,5,2,99,53,36,16,14,8,14
Australian Open,122330,R,,RUS,19.58384668,207,268,106298,R,185,FRA,22.89664613,16,2131,6-0 3-6 6-3 6-4,R128,103,16,9,95,50,43,19,17,3,6,6,7,95,55,40,14,17,4,11
Australian Open,104607,R,196,CZE,31.33196441,10,3060,104563,R,,ITA,31.61943874,157,373,6-1 RET,R128,32,2,2,22,10,8,9,4,1,1,1,2,26,16,8,4,3,1,3
Australian Open,105992,R,183,USA,24.6954141,82,664,103917,R,190,FRA,34.98699521,41,1085,6-3 6-4 6-2,R128,122,8,3,77,49,38,14,14,4,6,1,5,95,56,33,16,13,8,14
Australian Open,111511,R,,USA,20.90349076,200,274,106216,R,,USA,23.49623546,113,519,6-7(4) 7-5 3-6 6-2 6-2,R128,188,15,6,160,94,70,31,25,5,10,9,8,174,112,78,21,24,6,14
Australian Open,103819,R,185,SUI,35.44147844,17,1980,103781,L,183,AUT,35.6550308,300,164,7-5 3-6 6-2 6-2,R128,125,19,1,103,66,51,20,19,1,4,4,1,111,83,47,15,18,2,9
Australian Open,105041,R,185,SVK,29.20465435,121,486,105077,L,188,ESP,28.99931554,26,1435,4-6 7-5 1-6 6-4 6-3,R128,200,17,4,140,86,64,30,24,8,12,21,11,151,86,63,32,24,7,11
Australian Open,104534,R,175,ISR,31.78644764,67,731,104719,R,190,ESP,30.7652293,38,1123,5-7 6-3 6-2 6-0,R128,154,1,3,113,84,54,13,18,4,8,4,2,112,69,38,16,17,8,18
Australian Open,104871,R,188,FRA,29.92744695,72,705,104597,R,183,ESP,31.40588638,42,1040,4-0 RET,R128,23,3,3,20,13,10,3,2,2,2,1,1,15,6,3,2,2,0,2
Australian Open,105453,R,178,JPN,27.04996578,5,5010,105723,R,185,RUS,25.90006845,45,1015,5-7 6-1 6-4 6-7(6) 6-2,R128,214,11,0,158,98,67,34,25,7,12,5,4,142,78,52,27,24,3,12
Australian Open,104527,R,183,SUI,31.80561259,4,5155,105373,L,190,SVK,27.51813826,34,1230,4-6 6-4 7-5 4-6 6-4,R128,204,21,6,160,102,78,27,26,11,16,7,2,157,120,77,24,26,10,16
Australian Open,105449,R,188,USA,27.06365503,30,1390,105643,L,190,ARG,26.28336756,44,1030,6-3 6-4 6-4,R128,120,17,1,79,43,40,23,15,2,2,2,5,85,49,37,15,14,3,6
Australian Open,103893,R,183,ITA,35.08829569,43,1033,105902,R,183,AUS,24.98836413,107,557,6-4 7-6(4) 6-7(4) 6-4,R128,195,10,5,141,81,64,30,22,7,9,8,7,142,71,56,35,22,3,7
Australian Open,104678,R,193,SRB,30.93223819,35,1225,106000,R,172,BIH,24.65982204,78,694,6-4 6-4 2-6 2-6 6-3,R128,166,14,2,123,79,57,25,23,5,11,1,8,143,80,57,31,22,10,15
Australian Open,106043,R,170,ARG,24.41889117,54,867,104655,R,180,URU,31.04175222,22,1780,6-3 6-3 6-0,R128,82,6,4,72,42,30,22,12,3,4,7,6,80,44,25,13,12,2,9
Australian Open,104327,R,178,BEL,32.84599589,71,707,105032,R,,AUS,29.24572211,162,355,3-6 6-3 6-2 6-2,R128,130,3,0,91,58,48,18,17,1,2,19,8,115,63,44,24,17,5,10
Australian Open,104312,R,190,ITA,32.90349076,89,635,103908,R,185,FRA,35.01163587,75,700,6-4 7-6(4) 6-7(3) 7-5,R128,185,34,7,159,94,75,38,23,13,14,16,8,148,85,63,38,23,7,10
Australian Open,106401,R,193,AUS,21.724846,13,2460,105671,R,178,POR,26.14647502,77,698,6-1 6-2 6-2,R128,84,8,3,64,37,30,21,12,0,0,4,3,67,34,20,13,11,5,11
Australian Open,104542,R,188,FRA,31.75085558,12,2505,106329,L,,BRA,22.63107461,83,664,6-1 6-3 6-7(5) 6-2,R128,143,20,5,103,49,43,34,18,3,4,4,8,111,60,39,24,18,7,14
Australian Open,105583,R,180,SRB,26.54893908,94,627,103565,R,185,FRA,36.66803559,55,854,6-3 6-3 6-3,R128,119,4,4,96,57,42,17,14,7,9,3,5,100,54,29,23,13,7,13
Australian Open,111575,R,,RUS,20.65708419,52,875,105173,L,183,FRA,28.55030801,61,781,6-4 3-6 7-6(9) 6-3,R128,166,32,4,126,76,66,25,20,5,6,8,1,142,91,65,29,20,7,10
Australian Open,106058,R,185,USA,24.31211499,20,1810,105732,R,188,FRA,25.83436003,73,705,6-4 7-6(4) 6-3,R128,132,10,6,105,69,56,15,16,5,6,14,4,104,68,49,16,15,9,12
Australian Open,106071,R,193,AUS,24.23819302,27,1420,105064,L,188,BRA,29.04859685,62,771,6-2 6-1 6-4,R128,97,12,2,70,44,39,17,13,3,3,10,3,83,53,33,12,12,7,12
Australian Open,103607,R,173,DOM,36.45722108,103,586,105379,R,181,GBR,27.49897331,109,547,7-6(7) 7-5 0-6 6-3,R128,189,4,6,143,99,63,20,20,9,15,10,8,135,73,51,31,19,5,10
Australian Open,105554,R,175,GBR,26.65297741,51,886,105487,L,,ARG,26.88569473,65,739,7-6(8) 6-3 6-1,R128,115,14,3,88,53,44,21,14,2,2,11,4,94,50,34,18,14,6,10
Australian Open,105227,R,198,CRO,28.30116359,7,3605,105668,R,203,POL,26.17659138,273,186,4-6 4-6 6-2 6-2 6-3,R128,184,26,8,123,71,60,30,23,2,4,18,7,145,99,63,26,22,6,12
Australian Open,104792,R,193,FRA,30.37645448,6,3625,106210,L,,CZE,23.52087611,53,873,6-2 6-3 6-2,R128,92,4,3,71,34,27,26,13,2,3,2,8,75,47,28,11,12,6,12
Australian Open,105238,R,180,UKR,28.19164956,69,715,106432,R,,CRO,20.1724846,59,795,6-3 6-4 3-6 7-6(7),R128,177,14,9,132,75,58,29,20,6,9,13,7,134,80,56,26,20,7,11
Australian Open,105385,L,183,USA,27.48528405,85,651,105341,R,,ITA,27.6440794,141,427,6-4 7-6(1) 6-4,R128,150,8,6,118,67,48,23,16,10,14,1,5,114,65,35,27,16,7,13
Australian Open,104259,R,178,GER,33.25393566,33,1325,105932,R,185,RUS,24.89801506,92,630,6-4 3-6 7-6(2) 6-4,R128,151,12,4,114,66,51,28,21,4,7,3,2,137,95,64,21,20,3,7
Australian Open,100644,R,198,GER,19.74264203,24,1655,104898,R,190,NED,29.78234086,57,808,6-2 3-6 5-7 6-3 6-2,R128,174,17,10,144,92,69,24,23,12,16,13,11,140,81,60,24,23,7,14
Australian Open,126207,R,,USA,18.98973306,108,550,105062,R,183,KAZ,29.05954825,98,602,6-1 6-7(3) 6-3 6-2,R128,157,13,4,114,63,51,28,18,4,5,9,3,111,65,44,22,18,8,14
Australian Open,104571,R,183,CYP,31.58384668,36,1210,104022,R,183,RUS,34.56262834,70,707,6-3 3-0 RET,R128,65,4,1,36,17,15,11,6,2,2,1,2,49,31,18,7,6,7,10
Australian Open,104745,L,185,ESP,30.62286105,9,3195,104252,R,190,GER,33.28405202,49,903,6-3 6-4 6-4,R128,124,6,0,76,53,41,19,15,0,0,7,1,102,66,41,22,14,9,12
Australian Open,105138,R,183,ESP,28.75838467,14,2350,105550,L,185,ARG,26.66940452,81,685,6-3 6-1 6-1,R128,83,7,1,60,38,37,12,12,1,1,5,5,67,40,23,8,11,6,12
Australian Open,106415,L,,JPN,21.30595483,99,602,106109,L,,AUS,24.03011636,632,46,6-4 1-6 6-2 6-4,R128,150,1,4,115,67,46,26,18,4,7,19,5,118,72,50,20,17,5,10
Australian Open,124014,R,,USA,20.53661875,131,455,106421,R,,RUS,20.93086927,63,751,7-5 4-6 7-6(5) 6-1,R128,156,9,3,122,68,52,35,21,4,5,12,9,135,79,61,29,20,7,11
Australian Open,103970,R,175,ESP,34.7926078,23,1740,117357,L,,AUS,19.6659822,290,172,6-3 6-0 6-2,R128,85,4,2,67,44,38,11,12,1,1,1,5,68,41,25,9,11,6,12
Australian Open,104468,R,183,FRA,32.05475702,25,1585,111581,R,,USA,19.01711157,190,297,6-1 6-3 6-3,R128,110,2,3,83,39,25,31,13,4,5,4,4,77,51,28,10,12,2,8
Australian Open,104297,R,178,BRA,32.95277207,100,600,111577,R,,USA,20.27104723,101,596,3-6 0-6 6-1 6-4 6-4,R128,185,13,3,130,77,54,26,21,7,12,9,5,132,78,52,29,21,8,13
Australian Open,104180,L,193,LUX,33.69199179,28,1415,126203,R,,USA,19.21971253,93,628,7-6(6) 7-6(5) 6-3,R128,134,30,4,108,70,58,22,17,6,6,12,4,103,70,53,18,16,0,1
Australian Open,105683,R,196,CAN,26.05612594,3,5290,104460,R,196,GER,32.10677618,66,738,6-3 6-4 6-2,R128,92,18,5,79,50,41,18,14,3,3,3,7,93,55,34,20,13,6,10
Australian Open,106233,R,185,AUT,23.37029432,8,3415,105526,R,,GER,26.72963723,58,796,4-6 6-4 6-4 6-3,R128,174,12,9,132,62,52,30,20,8,10,13,10,140,74,59,26,19,14,19
Australian Open,111442,R,,AUS,22.74332649,76,699,105311,R,185,POR,27.80013689,37,1135,6-7(2) 4-6 6-3 6-2 6-1,R128,201,23,1,146,97,71,26,23,8,11,4,5,132,73,49,31,23,5,13
Australian Open,105332,R,196,FRA,27.69336071,47,960,103163,R,188,GER,38.78986995,,,7-6(2) 6-4 RET,R128,97,22,4,74,43,35,16,11,1,2,4,5,84,45,25,24,11,3,5
Australian Open,104926,R,178,ITA,29.65092402,48,945,103852,L,188,ESP,35.32375086,29,1410,7-5 6-3 7-5,R128,123,5,3,81,43,38,23,17,0,2,13,8,133,71,48,24,16,22,28
Australian Open,103333,R,208,CRO,37.88364134,21,1795,104547,L,188,ARG,31.72347707,68,725,6-7(6) 3-6 7-5 6-2 22-20,R128,314,75,12,213,140,127,44,42,3,4,33,9,237,152,125,49,41,5,9
Australian Open,106225,R,,AUS,23.43326489,194,289,106361,R,,CZE,22.275154,86,649,6-4 4-6 6-2 6-3,R128,145,12,10,112,65,49,26,19,5,7,13,3,107,66,47,16,18,3,9
Australian Open,103285,R,185,CZE,38.13826146,102,595,104098,R,185,RUS,34.0971937,405,105,6-2 7-6(1) 6-3,R128,119,15,4,99,64,51,21,15,4,4,5,5,87,58,39,13,14,5,8
Australian Open,105676,R,163,BEL,26.11088296,11,2750,124187,U,,USA,19.38672142,208,267,6-4 4-6 6-2 4-6 6-4,R128,176,13,7,148,79,61,42,24,6,8,21,7,144,85,64,28,24,2,6
Australian Open,105777,R,188,BUL,25.67282683,15,2135,106331,U,,AUS,22.62286105,231,228,7-6(2) 6-3 6-3,R128,121,15,0,81,47,46,21,15,0,0,6,1,110,64,44,23,15,10,13
Australian Open,111202,R,,KOR,20.66255989,105,583,105952,R,,ARG,24.84052019,79,693,6-2 6-3 6-2,R128,105,4,1,69,39,27,21,13,1,2,6,7,80,38,24,16,12,9,16
Australian Open,104122,R,183,ARG,33.95208761,90,632,105430,R,,MDA,27.18138261,96,614,6-4 7-6(4) 5-7 7-6(8),R128,236,18,5,157,92,70,34,23,8,12,7,2,154,110,74,25,23,5,9
Australian Open,104755,R,185,FRA,30.58179329,18,1885,106425,U,,AUS,20.73921971,287,173,6-4 6-4 6-2,R128,113,2,1,82,53,38,20,14,0,1,7,3,78,49,31,15,14,3,8
Australian Open,105807,R,188,ESP,25.51676934,31,1370,105166,R,180,CAN,28.58863792,132,454,6-0 3-6 3-6 6-2 3-0 RET,R128,143,20,8,101,59,49,19,18,3,7,10,5,123,73,41,22,17,13,20
Australian Open,106378,R,,GBR,22.02327173,46,989,105053,R,188,COL,29.13894593,91,631,6-2 7-5 6-3,R128,110,12,2,78,43,39,20,15,0,1,6,4,85,48,32,17,14,5,10
Australian Open,104797,R,188,UZB,30.36002738,117,498,104471,R,183,CRO,32.03832991,170,336,6-1 6-4 3-6 7-5,R128,154,14,2,119,78,61,19,19,8,11,7,11,113,65,47,20,19,3,9
Australian Open,104925,R,188,SRB,29.65639973,2,11780,104269,L,188,ESP,33.17180014,40,1105,6-1 7-6(4) 6-2,R128,140,2,2,94,58,44,18,14,3,5,5,5,106,55,33,20,13,10,16
Australian Open,104918,R,190,GBR,29.67556468,1,12560,126094,R,,RUS,19.24161533,152,383,6-3 6-0 6-2,R64,96,9,2,69,44,34,17,12,0,0,2,3,65,27,19,14,11,1,7
Australian Open,105023,R,198,USA,29.27857632,32,1355,200282,R,,AUS,17.9137577,301,164,7-6(5) 6-0 6-1,R64,108,9,9,89,46,43,21,13,3,3,1,4,100,68,44,8,12,8,13
Australian Open,104999,L,190,GER,29.40451745,50,894,104545,R,206,USA,31.72621492,19,1850,6-7(4) 6-7(4) 6-4 7-6(7) 9-7,R64,250,22,13,212,128,107,43,31,16,17,33,4,203,143,106,36,31,13,16
Australian Open,104291,R,185,TUN,32.99110198,56,824,122330,R,,RUS,19.58384668,207,268,6-2 6-3 7-5,R64,97,8,4,82,48,34,20,15,7,10,15,4,92,50,30,14,14,4,12
Australian Open,104607,R,196,CZE,31.33196441,10,3060,105992,R,183,USA,24.6954141,82,664,6-3 7-6(6) 6-2,R64,125,15,2,75,48,43,16,15,2,3,6,11,129,68,46,22,14,10,15
Australian Open,103819,R,185,SUI,35.44147844,17,1980,111511,R,,USA,20.90349076,200,274,7-5 6-3 7-6(3),R64,123,17,2,112,67,55,25,17,5,6,2,3,102,57,36,28,16,5,8
Australian Open,105041,R,185,SVK,29.20465435,121,486,104534,R,175,ISR,31.78644764,67,731,2-6 6-3 6-2 6-4,R64,135,8,1,118,66,45,28,18,8,12,5,5,98,68,42,16,17,5,11
Australian Open,105453,R,178,JPN,27.04996578,5,5010,104871,R,188,FRA,29.92744695,72,705,6-3 6-4 6-3,R64,126,2,0,88,61,41,15,14,6,9,5,5,94,54,32,16,14,11,18
Australian Open,104527,R,183,SUI,31.80561259,4,5155,105449,R,188,USA,27.06365503,30,1390,6-3 6-4 6-4,R64,111,11,4,88,54,47,19,15,5,5,6,0,93,66,44,14,14,8,11
Australian Open,104678,R,193,SRB,30.93223819,35,1225,103893,R,183,ITA,35.08829569,43,1033,6-3 1-6 7-6(3) 3-6 6-3,R64,227,21,6,154,84,65,34,23,12,16,8,8,160,98,68,32,23,8,11
Australian Open,104327,R,178,BEL,32.84599589,71,707,106043,R,170,ARG,24.41889117,54,867,6-3 6-3 2-6 6-4,R64,152,5,0,114,80,57,16,18,5,8,5,5,118,67,46,24,18,5,10
Australian Open,104312,R,190,ITA,32.90349076,89,635,106401,R,193,AUS,21.724846,13,2460,1-6 6-7(1) 6-4 6-2 10-8,R64,188,16,4,149,85,65,41,28,7,10,28,8,171,118,88,27,27,7,12
Australian Open,104542,R,188,FRA,31.75085558,12,2505,105583,R,180,SRB,26.54893908,94,627,6-2 6-2 6-3,R64,105,15,2,79,45,38,17,13,3,4,1,0,85,57,30,13,12,9,15
Australian Open,106058,R,185,USA,24.31211499,20,1810,111575,R,,RUS,20.65708419,52,875,6-3 6-4 6-4,R64,134,7,5,107,63,51,20,15,8,9,10,6,111,58,41,22,14,11,15
Australian Open,106071,R,193,AUS,24.23819302,27,1420,103607,R,173,DOM,36.45722108,103,586,7-5 7-6(4) 4-6 7-6(5),R64,200,19,2,134,96,77,21,23,3,5,13,7,164,104,77,31,23,6,8
Australian Open,105554,R,175,GBR,26.65297741,51,886,105227,R,198,CRO,28.30116359,7,3605,3-6 7-5 6-3 6-3,R64,177,5,7,143,84,58,30,20,16,19,14,4,110,63,44,24,19,8,14
Australian Open,104792,R,193,FRA,30.37645448,6,3625,105238,R,180,UKR,28.19164956,69,715,6-3 6-4 1-6 6-0,R64,116,17,5,92,62,49,11,16,3,6,6,5,123,72,48,19,16,13,19
Australian Open,104259,R,178,GER,33.25393566,33,1325,105385,L,183,USA,27.48528405,85,651,7-5 6-3 6-0,R64,111,3,3,77,43,33,23,14,4,5,5,2,93,62,30,15,13,5,12
Australian Open,100644,R,198,GER,19.74264203,24,1655,126207,R,,USA,18.98973306,108,550,6-2 6-3 6-4,R64,116,9,6,99,55,41,26,14,5,5,4,2,83,55,34,16,13,4,8
Australian Open,104745,L,185,ESP,30.62286105,9,3195,104571,R,183,CYP,31.58384668,36,1210,6-3 6-1 6-3,R64,132,5,0,80,64,46,10,13,4,5,7,4,98,53,33,16,12,10,16
Australian Open,105138,R,183,ESP,28.75838467,14,2350,106415,L,,JPN,21.30595483,99,602,6-2 6-3 6-3,R64,129,9,1,77,63,41,6,13,6,10,2,3,118,71,35,19,13,12,21
Australian Open,103970,R,175,ESP,34.7926078,23,1740,124014,R,,USA,20.53661875,131,455,2-6 6-4 6-4 6-2,R64,166,6,7,141,84,58,30,18,11,13,7,3,121,68,48,27,18,10,14
